timestamp,elapsed_time,current_speed,tempomat_target,original_tempomat,distance_to_lead,lead_vehicle_speed,distronic_active,distronic_speed,our_position,lead_position
1752779362.6560757,15.82736849784851,118,118,120,99.91666666666661,118,True,118,26.30555555555556,126.22222222222217
1752779362.7640421,15.935334920883179,118,118,120,99.9166666666666,118,True,118,29.58333333333334,129.49999999999994
1752779362.872152,16.043444871902466,118,118,120,99.9166666666666,118,True,118,32.861111111111114,132.77777777777771
1752779362.979177,16.15046977996826,118,118,120,99.9166666666666,118,True,118,36.13888888888889,136.0555555555555
1752779363.0882204,16.25951313972473,118,118,120,99.91666666666659,118,True,118,39.41666666666667,139.33333333333326
1752779363.1961308,16.36742353439331,118,118,120,99.91666666666657,118,True,118,42.69444444444445,142.61111111111103
1752779363.3053935,16.476686239242554,118,118,120,99.91666666666657,118,True,118,45.97222222222223,145.8888888888888
1752779363.4149253,16.586218118667603,118,118,120,99.91666666666657,118,True,118,49.25000000000001,149.16666666666657
1752779363.522019,16.69331169128418,118,118,120,99.91666666666656,118,True,118,52.527777777777786,152.44444444444434
1752779363.6307023,16.801995038986206,118,118,120,99.91666666666654,118,True,118,55.805555555555564,155.72222222222211
1752779363.7385917,16.909884452819824,118,118,120,99.91666666666654,118,True,118,59.08333333333334,158.9999999999999
1752779363.8468478,17.0181405544281,118,118,120,99.91666666666654,118,True,118,62.36111111111112,162.27777777777766
1752779363.9549613,17.126254081726074,118,118,120,99.91666666666653,118,True,118,65.6388888888889,165.55555555555543
1752779364.0641248,17.23541760444641,118,118,120,99.91666666666653,118,True,118,68.91666666666667,168.8333333333332
1752779364.1738758,17.345168590545654,118,118,120,99.91666666666653,118,True,118,72.19444444444444,172.11111111111097
1752779364.2815998,17.452892541885376,118,118,120,99.91666666666653,118,True,118,75.47222222222221,175.38888888888874
1752779364.389981,17.56127381324768,118,118,120,99.91666666666653,118,True,118,78.74999999999999,178.66666666666652
1752779364.4975436,17.66883635520935,118,118,120,99.91666666666653,118,True,118,82.02777777777776,181.9444444444443
1752779364.605487,17.776779890060425,118,118,120,99.91666666666653,118,True,118,85.30555555555553,185.22222222222206
1752779364.7148442,17.886137008666992,118,118,120,99.91666666666653,118,True,118,88.5833333333333,188.49999999999983
1752779364.822444,17.993736743927002,118,118,120,99.91666666666653,118,True,118,91.86111111111107,191.7777777777776
1752779364.9310036,18.102296352386475,118,118,120,99.91666666666653,118,True,118,95.13888888888884,195.05555555555537
1752779365.036878,18.208170890808105,118,118,120,99.91666666666653,118,True,118,98.41666666666661,198.33333333333314
1752779365.1464028,18.31769561767578,118,118,120,99.91666666666653,118,True,118,101.69444444444439,201.61111111111092
